state,date,fossil,geo,hydro,nuclear,secondary,solar,wind,population,all sectors,commercial,industrial,residential
ME,2013-05-01,351870.265,0.0,327724.234,0.0,287009.585,0.0,72588.47,1339976,10.641363636363636,10.482954545454545,7.538409090909091,13.390227272727271
ME,2013-06-01,414828.88,0.0,395022.527,0.0,394018.813,0.0,66178.57,1340260,10.538863636363637,10.287272727272725,7.100454545454545,13.203863636363636
ME,2013-07-01,495342.43,0.0,322703.39,0.0,406169.435,0.0,56484.575,1340543,11.079318181818183,10.781136363636364,7.929772727272726,13.297045454545453
ME,2013-08-01,398701.831,0.0,235303.983,0.0,392603.859,0.0,69714.749,1340826,10.743863636363635,10.566818181818181,7.193636363636363,13.408863636363636
ME,2013-09-01,365412.312,0.0,263039.033,0.0,377962.06,0.0,74744.188,1341110,10.678636363636365,10.641363636363636,6.997954545454545,13.47409090909091
ME,2013-10-01,371068.802,0.0,249932.548,0.0,334879.557,0.0,87465.678,1341393,10.538863636363637,10.632045454545453,6.8954545454545455,13.464772727272726
ME,2013-11-01,410781.066,0.0,230499.548,0.0,370535.597,0.0,130200.17,1341676,10.902272727272726,10.91159090909091,7.426590909090908,13.408863636363636
ME,2013-12-01,579593.486,0.0,243270.178,0.0,365488.431,0.0,97359.947,1341960,11.7875,12.094999999999999,8.600681818181817,13.334318181818182
MI,2013-01-01,5775357.581999999,0.0,123396.78,2791910.0,229233.002,0.0,308951.051,9943361,10.05431818181818,9.737499999999999,6.886136363636363,12.719318181818181
MI,2013-02-01,5522063.357000001,0.0,119635.324,2388312.0,203242.893,0.0,258864.102,9944975,10.035681818181818,10.10090909090909,6.942045454545454,12.896363636363635
MI,2013-03-01,5559539.162,0.0,172801.099,2620531.0,257189.083,0.0,256072.07,9946589,10.29659090909091,10.203409090909089,7.137727272727273,13.12
MI,2013-04-01,4943453.288,0.0,279638.994,1826588.0,264303.627,0.0,293640.826,9948203,10.10090909090909,10.10090909090909,7.02590909090909,13.390227272727271
MI,2013-05-01,5738388.467,0.0,204555.489,1533456.0,266443.192,0.0,217624.278,9949817,10.650681818181818,10.632045454545453,7.49181818181818,14.079772727272726
MI,2013-06-01,5975155.468,0.0,136200.21,2309981.0,275270.388,0.0,141504.958,9951431,10.902272727272726,10.771818181818182,7.631590909090908,14.415227272727272
MI,2013-07-01,6874298.672999999,0.0,50989.696,2609391.0,265366.515,0.0,128043.987,9953045,11.13522727272727,10.66931818181818,7.687499999999999,14.033181818181818
MI,2013-08-01,6708768.852,0.0,48819.629,2679670.0,263847.595,0.0,137132.198,9954660,10.87431818181818,10.66931818181818,7.622272727272726,13.958636363636364
MI,2013-09-01,5608648.436,0.0,38257.613,2345864.0,260468.228,0.0,175732.627,9956274,10.29659090909091,10.222045454545455,6.92340909090909,13.958636363636364
